,Id,SMILES,IC50,Structure ID,pdb_entry,prior,category,initial_screen,is_covalent,purchasable,inspired_by
48,DAR-DIA-03336633-12,CN1CCN(C(=O)Cc2c[nH]c3nccc(NC(=O)NC4CCCCC4)c23)CC1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
49,DAR-DIA-03336633-13,O=C(Cc1ccccc1)Nc1c[nH]c2nccc(NC(=O)NC3CCCCC3)c12,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
50,DAR-DIA-03336633-14,O=C(Cc1ccccc1)Nc1c[nH]c2nccc(NC(=O)C3CCCCC3)c12,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
51,DAR-DIA-03336633-15,NCCc1ccncc1CC(=O)Nc1ccccc1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,AAR-POS-d2a4d1df-12,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
52,DAR-DIA-842b4336-1,O=C(Nc1cccnc1)Nc1ccsc1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
53,DAR-DIA-842b4336-2,Cn1cc(NC(=O)Nc2cccnc2)cn1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
54,DAR-DIA-842b4336-3,Cc1ccc(NC(=O)Nc2cccnc2)s1,,x2608,5RH0,False,Core,False,False,True,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
55,DAR-DIA-842b4336-4,O=C(Nc1cccnc1)Nc1ccc(Cl)s1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
56,DAR-DIA-842b4336-5,N#Cc1ccc(NC(=O)Nc2cccnc2)s1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
57,DAR-DIA-842b4336-6,N#Cc1coc(NC(=O)Nc2cccnc2)n1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
58,DAR-DIA-842b4336-7,Cc1coc(NC(=O)Nc2cccnc2)n1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
