,Id,Ordered,Made,Assayed,Maker,order_date,shipment_date
243,AGN-NEW-9d245c51-5,False,False,False,,,
244,AGN-NEW-5f02c22c-1,False,False,False,,,
245,AGN-NEW-817c14da-2,False,False,False,,,
246,AGN-NEW-817c14da-4,False,False,False,,,
247,AGN-NEW-817c14da-5,False,False,False,,,
248,AGN-NEW-817c14da-6,False,False,False,,,
249,AGN-NEW-c197b967-1,False,False,False,,,
250,AGN-NEW-c197b967-2,False,False,False,,,
251,AGN-NEW-63f62ae9-1,False,False,False,,,
252,AGN-NEW-63f62ae9-2,False,False,False,,,
253,SAL-INS-cba98abe-1,False,False,False,,,
254,SAL-INS-cba98abe-2,False,False,False,,,
255,SAL-INS-cba98abe-3,False,False,False,,,
256,SAL-INS-cba98abe-4,False,False,False,,,
257,SAL-INS-cba98abe-5,False,False,False,,,
258,SAL-INS-cba98abe-6,False,False,False,,,
259,SAL-INS-cba98abe-7,False,False,False,,,
260,SAL-INS-cba98abe-8,False,False,False,,,
261,SAL-INS-cba98abe-9,False,False,False,,,
262,PAT-GYR-359dbb24-1,False,False,False,enamine,2020-03-31,2020-04-17
263,PAT-GYR-359dbb24-2,False,False,False,,,
264,PAT-GYR-359dbb24-3,False,False,False,,,
265,PAT-GYR-359dbb24-4,False,False,False,,,
266,PAT-GYR-359dbb24-5,False,False,False,,,
267,PAU-WEI-b9b69149-1,False,False,False,enamine,2020-04-17,
268,PAU-WEI-b9b69149-2,False,False,False,,,
269,PAU-WEI-b9b69149-3,False,False,False,enamine,2020-04-17,
270,PAU-WEI-b9b69149-4,False,False,False,enamine,2020-04-17,
271,PAU-WEI-b9b69149-5,False,False,False,enamine,2020-04-17,
272,PAU-WEI-b9b69149-6,False,False,False,enamine,2020-04-17,
273,PAU-WEI-b9b69149-7,False,False,False,enamine,2020-04-17,
274,PAU-WEI-b9b69149-8,False,False,False,enamine,2020-04-17,
275,PAU-WEI-b9b69149-9,False,False,False,enamine,2020-04-17,
276,ELE-IMP-dfb36048-2,False,False,False,,,
277,ELE-IMP-dfb36048-3,False,False,False,,,
278,ELE-IMP-dfb36048-4,False,False,False,,,
279,ELE-IMP-dfb36048-5,False,False,False,,,
